imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu2_acc_x,imu2_acc_y,imu2_acc_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu3_acc_x,imu3_acc_y,imu3_acc_z,imu3_gyro_x,imu3_gyro_y,imu3_gyro_z,imu4_acc_x,imu4_acc_y,imu4_acc_z,imu4_gyro_x,imu4_gyro_y,imu4_gyro_z,imu5_acc_x,imu5_acc_y,imu5_acc_z,imu5_gyro_x,imu5_gyro_y,imu5_gyro_z,imu6_acc_x,imu6_acc_y,imu6_acc_z,imu6_gyro_x,imu6_gyro_y,imu6_gyro_z,imu7_acc_x,imu7_acc_y,imu7_acc_z,imu7_gyro_x,imu7_gyro_y,imu7_gyro_z,imu8_acc_x,imu8_acc_y,imu8_acc_z,imu8_gyro_x,imu8_gyro_y,imu8_gyro_z,imu9_acc_x,imu9_acc_y,imu9_acc_z,imu9_gyro_x,imu9_gyro_y,imu9_gyro_z,imu10_acc_x,imu10_acc_y,imu10_acc_z,imu10_gyro_x,imu10_gyro_y,imu10_gyro_z,stroke_label,head_x,head_y,stroke_prob
-0.907,0.113,-1.699,0.24,0.508,-0.17,1.41,0.547,2.006,-0.184,-0.193,0.102,0.683,-1.807,-0.492,2.588,1.2,1.145,2.722,-0.565,-0.083,0.707,-1.088,0.251,0.56,0.591,-0.88,-1.63,-0.736,1.696,-0.149,0.34,0.894,1.485,-0.329,0.526,-0.414,-0.052,-0.582,0.501,-1.596,0.212,-0.323,-0.594,1.25,0.278,-0.563,0.814,0.523,-0.006,-0.644,0.243,-0.412,-0.224,-0.082,1.555,0.097,-0.829,0.475,-1.187,Freestyle,1700,798,0.89
2.188,-1.561,-0.167,2.827,0.501,0.141,-0.064,0.721,-1.297,-1.1,0.359,-1.077,0.693,-0.665,0.639,1.425,0.305,0.65,0.569,-0.213,1.141,0.099,-0.142,0.279,-0.475,0.287,-1.127,-0.109,-2.085,0.589,1.249,0.588,-0.082,0.375,-1.865,1.058,1.506,-1.443,-0.126,-1.783,-1.978,0.672,-0.04,0.329,0.603,0.004,0.073,0.601,-0.177,-0.821,-1.724,0.059,0.917,0.662,2.094,0.433,-1.086,-0.966,-0.565,0.927,Front Crawl,1068,298,0.731
0.319,0.774,-0.769,0.573,0.511,-0.729,-0.878,1.242,1.006,-1.718,0.447,1.758,-0.276,0.549,1.956,0.277,-0.971,-1.224,-1.296,-0.148,0.423,-0.353,0.37,-0.508,1.261,0.583,0.806,0.472,-0.227,0.618,-0.824,-0.273,1.264,1.101,-0.43,0.888,-0.018,0.219,-0.31,1.921,-0.458,-0.865,0.475,-0.349,-0.748,0.237,-0.599,0.806,-1.554,-1.01,0.34,-1.023,0.503,-0.798,-0.08,0.198,-0.399,0.451,-1.144,-1.222,Front Crawl,1785,275,0.32
-0.138,-1.061,-0.222,-0.675,-0.527,-1.631,-0.625,0.762,-1.457,0.412,-1.168,-0.129,0.366,-0.431,0.17,0.757,0.5,0.357,-0.76,-2.23,-1.348,-0.063,-0.844,-1.129,1.732,0.432,0.154,1.251,-0.184,-1.181,-1.195,-0.465,0.61,2.016,1.684,-1.54,-1.275,-0.031,-2.034,1.05,0.57,0.454,-0.434,-1.142,-0.413,-0.067,-1.354,-0.221,1.577,-0.164,2.208,-0.554,0.752,-1.567,0.01,0.418,3.012,-0.17,-1.378,-0.992,Front Crawl,104,271,0.678
-0.106,-0.076,0.783,-1.04,0.457,-0.708,-0.85,0.249,-1.024,0.718,-0.064,-1.463,0.322,-0.484,-0.985,2.042,0.629,-0.809,-0.814,0.973,-2.061,0.115,-1.351,0.832,-2.156,-0.736,-0.23,0.804,-0.754,-0.52,-1.095,0.266,0.926,-0.112,1.65,-0.286,-1.555,-0.238,0.607,0.28,-1.757,-0.674,-0.429,0.551,0.454,-0.46,-0.437,-0.886,-0.58,1.265,0.691,-2.273,-0.87,-0.785,-0.044,-1.116,0.285,-2.265,-0.585,-1.062,Breaststroke,304,245,0.521
0.438,-1.856,0.566,-0.846,1.197,-2.409,1.793,0.261,-0.102,-0.04,-0.772,-2.641,0.482,-0.365,-0.503,-1.638,0.374,0.719,0.971,1.071,-0.408,0.254,0.519,1.867,0.415,-0.379,-0.436,-0.117,1.357,0.765,-1.225,0.551,-0.449,1.056,-1.486,-0.032,-0.094,-1.899,1.624,-0.752,0.01,0.592,-1.182,-1.434,-0.392,-0.891,1.495,-2.157,0.811,0.844,-0.178,-1.097,0.648,1.226,1.041,0.198,-0.705,1.818,0.656,-0.462,Backstroke,223,1061,0.444
-1.694,-0.932,0.511,-0.415,0.801,-1.426,0.389,1.046,-1.601,0.406,-1.364,-2.649,1.222,-0.872,-0.732,-0.994,-1.936,-1.279,1.948,0.251,-1.007,-1.149,-1.062,-0.473,1.559,2.287,1.464,-0.727,-0.286,0.154,-0.267,0.017,0.335,-1.819,0.966,0.762,0.899,0.875,-0.119,-1.032,0.519,1.344,0.865,0.147,-2.167,-1.13,-0.399,0.449,-0.632,1.374,-0.526,-0.911,2.004,0.53,0.252,-0.295,-1.397,1.006,-0.17,-0.954,Butterfly,1311,816,0.073
0.108,1.431,-1.854,0.727,-0.485,-0.686,-1.377,1.036,-0.769,-0.786,-1.114,0.74,0.406,0.637,-1.222,-0.493,0.409,-0.967,1.181,-0.646,0.572,0.271,0.251,-0.988,0.318,0.345,-0.079,0.351,-0.324,1.521,-0.595,-0.183,-0.482,-0.828,1.301,0.418,-0.927,-0.91,1.151,1.089,0.243,0.996,0.016,0.677,-1.349,0.645,0.036,0.449,0.909,0.742,-1.245,-0.085,0.145,-0.576,-0.638,-0.768,-0.022,-2.151,0.062,-0.35,Butterfly,245,177,0.471
0.275,1.055,0.597,2.697,0.695,-0.143,0.4,0.464,0.632,-0.223,1.344,1.525,-0.183,-0.547,1.825,0.61,0.728,-0.265,-0.33,0.507,0.184,-0.141,-0.725,-1.159,0.394,0.529,0.329,-0.414,-1.656,0.452,1.137,1.989,-0.367,-1.762,-0.334,0.72,-0.727,0.741,2.912,1.165,-0.089,0.408,1.642,1.622,-2.401,1.702,1.104,0.818,-0.148,0.66,0.163,-0.556,-0.884,1.473,2.14,-0.303,1.625,-1.128,0.008,-0.342,Front Crawl,788,543,0.12
0.663,1.271,-1.512,-0.004,-0.086,1.447,-1.235,-0.397,1.912,-1.743,0.618,-1.151,1.326,-0.308,0.372,0.853,-0.262,0.138,1.29,-0.558,-1.143,0.893,0.427,-0.77,-0.242,-0.512,0.572,0.655,1.249,0.847,1.988,0.216,1.272,0.757,0.324,-1.882,0.669,-2.452,2.474,-0.841,1.378,1.568,1.584,1.041,1.114,-0.37,-0.976,-0.872,-0.082,-0.172,0.707,-0.215,-1.89,1.69,0.041,-0.793,-0.126,-0.028,-1.071,-1.085,Butterfly,1546,1069,0.521
-0.207,0.162,-0.148,-0.374,0.396,1.139,0.944,0.748,-0.766,0.077,0.095,0.121,-1.143,0.93,0.177,-0.2,-1.365,-0.904,0.108,-0.992,-0.606,-0.449,-2.221,-0.826,-0.436,-0.801,0.336,-1.007,0.084,0.886,2.375,-0.499,0.656,1.957,0.036,-0.042,0.599,0.688,0.621,0.49,-1.162,-0.447,-0.727,0.775,-0.465,0.141,-0.767,0.011,0.927,-1.639,-0.251,-0.65,1.147,0.613,-0.988,2.049,0.664,0.001,0.101,0.614,Front Crawl,270,677,0.171
0.933,-1.036,-0.583,0.982,-1.116,-0.305,-1.646,0.089,-1.26,1.14,0.803,1.65,-0.266,1.289,0.427,0.684,-0.835,0.191,0.776,3.311,-0.914,0.983,0.941,-1.047,0.386,-0.612,1.043,-0.391,-0.173,-0.818,0.392,0.903,-1.406,-0.799,-0.671,-1.188,-1.127,0.233,0.796,-1.15,-0.555,1.833,-0.417,0.35,-0.228,-0.7,0.081,1.084,-0.39,0.795,-0.379,-0.313,0.096,-0.784,-0.559,0.045,1.135,-1.781,0.107,-0.074,Butterfly,594,717,0.546
-1.46,0.862,1.164,-0.447,-0.225,0.51,0.557,-0.159,-0.01,0.718,-0.202,-0.16,0.498,-0.769,-1.453,2.322,-0.463,0.511,-2.144,-0.165,-1.034,-0.47,1.479,-1.131,0.932,0.463,0.42,-0.107,-1.061,0.936,0.372,-0.609,-1.463,1.07,-0.316,-1.051,-0.093,1.393,-0.686,0.552,-1.067,-0.761,-1.246,-0.016,-0.498,-1.848,1.301,-0.041,1.427,-0.583,-0.075,-0.363,-0.75,1.133,-0.271,0.325,0.59,-0.657,0.167,0.34,Butterfly,742,498,0.764
2.728,0.876,0.737,0.693,0.229,2.417,-0.745,-1.553,-1.423,-0.239,-0.425,1.447,1.122,-0.587,-0.056,-0.552,-0.291,1.086,-1.444,0.438,-1.694,1.062,0.103,-0.337,-0.719,0.475,-0.605,-1.095,-0.873,0.617,0.992,-0.759,-1.596,-1.253,0.476,1.078,-1.109,-0.314,-0.152,2.169,-1.325,0.155,1.418,-0.987,-0.479,-0.028,-0.605,-0.781,1.114,1.688,0.38,-1.035,-0.323,-0.48,0.208,-1.452,0.734,-0.402,0.45,1.956,Front Crawl,1071,316,0.47
0.304,-0.156,-0.069,-0.515,1.838,0.024,1.886,-0.247,0.307,-0.346,-0.264,1.869,1.806,0.112,-0.005,-0.102,0.302,-1.489,0.093,0.335,0.836,-0.124,-1.552,0.784,0.474,0.607,0.147,0.511,1.22,0.308,-1.335,0.127,1.021,-0.617,0.966,-0.099,-1.634,0.421,0.008,-0.238,-0.133,0.022,-0.257,-0.82,-0.805,-0.746,0.898,-0.254,0.808,-0.899,1.302,0.947,-1.739,-1.162,-1.124,-0.419,1.327,1.664,0.266,-1.673,Freestyle,1174,1065,0.523
1.435,-0.811,-1.834,-0.948,0.469,-0.408,0.88,-0.327,0.223,-2.118,-0.049,-0.134,0.145,0.243,0.377,0.67,0.016,0.034,-0.563,1.474,-1.024,0.018,-0.143,0.871,0.634,-0.356,0.253,-0.175,0.995,-0.528,-1.365,-1.117,1.031,0.437,0.379,-1.192,-0.344,-0.5,1.001,0.971,0.227,0.966,-0.056,-0.139,0.459,-2.117,-1.008,-0.617,-0.842,-0.654,-0.25,-0.659,1.258,0.491,-1.417,-0.02,-0.593,-0.482,0.102,-1.867,Butterfly,218,800,0.375
